Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Weld,1,,,1,S,1
Weld,2,200,2 single,1,S,2
Weld,3,340,1 single,1,S,3
Weld,4,100,1 double,1,S,4
Weld,5,320,1 single,1,S,5
Weld,6,160,1 double,2,S,6
Weld,7,340,1 single,2,S,7
Weld,8,,,2,S,8
Weld,9,200,None,2,S,9
Weld,10,220,2 single,2,S,10
Weld,11,220,2 single,2,S,11
Weld,12,140,1 double,3,S,12
Weld,13,340,1 single,3,S,13
Weld,14,360,1 single,3,S,14
Weld,15,200,None,3,S,15
Weld,16,220,2 single,3,S,16
Weld,17,220,2 single,3,S,17
Weld,18,100,1 double,3,S,18
Weld,19,300,1 single,4,S,19
Weld,20,320,1 single,4,S,20
Weld,21,180,None,4,S,21
Weld,22,200,2 single,4,S,22
Weld,23,180,2 single,4,S,23
Weld,24,60,2 double,5,S,24
Weld,25,60,2 double,5,S,25
Weld,26,70,2 double,5,S,26
Weld,27,70,2 double,5,N,27
Weld,28,360,1 single,1,N,28
Weld,29,200,2 single,1,N,29
Weld,30,360,1 single,1,N,30
Weld,31,100,1 double,1,N,31
Weld,32,320,1 single,1,N,32
Weld,33,160,1 double,2,N,33
Weld,34,340,1 single,2,N,34
Weld,35,,,2,N,35
Weld,36,200,None,2,N,36
Weld,37,420,1 single,2,N,37
Weld,38,220,2 single,2,N,38
Weld,39,140,1 double,3,N,39
Weld,40,340,1 single,3,N,40
Weld,41,360,1 single,3,N,41
Weld,42,200,None,3,N,42
Weld,43,220,2 single,3,N,43
Weld,44,200,2 single,3,N,44
Weld,45,100,1 double,4,N,45
Weld,46,300,1 single,4,N,46
Weld,47,320,1 single,4,N,47
Weld,48,180,None,4,N,48
Weld,49,200,2 single,4,N,49
Weld,50,180,2 single,4,N,50
Weld,51,60,2 double,5,N,51
Weld,52,60,2 double,5,N,52
Weld,53,70,2 double,5,N,53
Weld,54,70,2 double,5,N,54
